,temperature,replicate,combination,richness,inv_community_CV,resist
1,17,1,Colp,1,3.027986887,0.006468215
2,17,1,"Colp, Dexio",2,1.810235622,-0.001209168
3,17,1,"Colp, Dexio, Loxo, Para",4,3.33626225,0.0011846
4,17,1,"Colp, Dexio, Loxo, Para, Spiro",5,1.907447138,-0.026797639
5,17,1,"Colp, Dexio, Loxo, Spiro",4,2.582987562,0.002484023
6,17,1,"Colp, Dexio, Para, Spiro",4,3.038431162,0.020147456
7,17,1,"Colp, Loxo",2,1.899574935,0.002197224
8,17,1,"Colp, Loxo, Dexio",3,2.951716127,-0.012841585
9,17,1,"Colp, Loxo, Para, Spiro",4,2.959246098,-0.011906182
10,17,1,"Colp, Para",2,2.145926811,-0.014174515
11,17,1,"Colp, Para, Dexio",3,2.408626017,-0.014076345
12,17,1,"Colp, Spiro",2,2.166765139,0.005179282
13,17,1,"Colp, Tetra, Loxo",3,3.074342579,-0.00779303
14,17,1,Dexio,1,0.921078274,0.007324638
15,17,1,"Dexio, Loxo",2,3.236714869,0.004543762
16,17,1,"Dexio, Loxo, Para, Spiro",4,3.373272669,0.007144661
17,17,1,"Dexio, Para",2,2.219634853,0.008124912
18,17,1,"Dexio, Spiro",2,1.838912607,0.002945807
19,17,1,Loxo,1,1.770239737,0.014306363
20,17,1,"Loxo, Para",2,2.636545356,-0.013366599
21,17,1,"Loxo, Spiro",2,1.795390559,0.018131042
22,17,1,Para,1,1.254564745,0.008913667
23,17,1,"Para, Spiro",2,1.9476213,0.00549139
24,17,1,Spiro,1,1.651001119,0.009149309
25,17,1,"Spiro, Colp, Para",3,3.005795709,-0.002948122
26,17,1,"Spiro, Colp, Tetra",3,1.775937328,-0.011618993
27,17,1,"Spiro, Loxo, Dexio",3,2.428538951,-0.014015889
28,17,1,"Spiro, Loxo, Para",3,3.152102886,-0.014505067
29,17,1,"Spiro, Tetra, Dexio",3,1.548209759,-0.004530213
30,17,1,Tetra,1,0.669831257,-0.004422637
31,17,1,"Tetra, Colp",2,3.01934399,0.017790421
32,17,1,"Tetra, Colp, Dexio, Loxo",4,2.168967279,-0.012489792
33,17,1,"Tetra, Colp, Dexio, Loxo, Para",5,3.663968562,-0.026527785
34,17,1,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,2.996661157,-0.02262984
35,17,1,"Tetra, Colp, Dexio, Loxo, Spiro",5,2.73471994,0.024806773
36,17,1,"Tetra, Colp, Dexio, Para",4,2.115295899,-0.013216942
37,17,1,"Tetra, Colp, Dexio, Para, Spiro",5,3.052457365,0.003751109
38,17,1,"Tetra, Colp, Dexio, Spiro",4,2.891741493,-0.0043895
39,17,1,"Tetra, Colp, Loxo, Para",4,2.129916569,-0.047931676
40,17,1,"Tetra, Colp, Loxo, Para, Spiro",5,3.43071593,0.001991587
41,17,1,"Tetra, Colp, Loxo, Spiro",4,2.711658607,0.032841317
42,17,1,"Tetra, Colp, Para, Spiro",4,3.175899408,-0.010568146
43,17,1,"Tetra, Dexio",2,1.870847894,-0.011390719
44,17,1,"Tetra, Dexio, Loxo, Para",4,2.792273358,-0.013857334
45,17,1,"Tetra, Dexio, Loxo, Para, Spiro",5,2.674927036,0.017591674
46,17,1,"Tetra, Dexio, Loxo, Spiro",4,2.616560196,0.003555748
47,17,1,"Tetra, Dexio, Para, Spiro",4,1.919159448,-0.010030461
48,17,1,"Tetra, Loxo",2,1.714894334,0.020147858
49,17,1,"Tetra, Loxo, Para",3,1.671373776,-0.003457416
50,17,1,"Tetra, Loxo, Para, Spiro",4,2.538874231,-0.008626781
51,17,1,"Tetra, Para",2,1.992821008,-0.001535024
52,17,1,"Tetra, Para, Dexio",3,1.7881603,-0.003912596
53,17,1,"Tetra, Spiro",2,1.45398121,0.002293472
54,17,2,Colp,1,2.50494985,-0.000543214
55,17,2,"Colp, Dexio",2,1.740969337,0.001116696
56,17,2,"Colp, Dexio, Loxo, Para",4,3.104516944,0.002710939
57,17,2,"Colp, Dexio, Loxo, Para, Spiro",5,2.618906449,-0.026244368
58,17,2,"Colp, Dexio, Loxo, Spiro",4,2.883823745,0.019934076
59,17,2,"Colp, Dexio, Para, Spiro",4,2.429724293,-0.004304176
60,17,2,"Colp, Loxo",2,2.702745824,-0.001812956
61,17,2,"Colp, Loxo, Dexio",3,3.132334201,-0.020671227
62,17,2,"Colp, Loxo, Para, Spiro",4,3.131008232,-0.014358593
63,17,2,"Colp, Para",2,3.137646883,-9.09348E-05
64,17,2,"Colp, Para, Dexio",3,2.139016258,-0.016933074
65,17,2,"Colp, Spiro",2,2.410854851,-0.017954644
66,17,2,"Colp, Tetra, Loxo",3,2.196999858,0.010090568
67,17,2,Dexio,1,1.10743476,0.013815143
68,17,2,"Dexio, Loxo",2,3.110955453,0.001129148
69,17,2,"Dexio, Loxo, Para, Spiro",4,2.914702866,0.00794364
70,17,2,"Dexio, Para",2,1.94259551,0.005032211
71,17,2,"Dexio, Spiro",2,1.319777509,-0.012117073
72,17,2,Loxo,1,1.924896916,0.023575937
73,17,2,"Loxo, Para",2,3.003590508,-0.014364504
74,17,2,"Loxo, Spiro",2,2.416593939,0.006479847
75,17,2,Para,1,1.536926948,0.000174401
76,17,2,"Para, Spiro",2,1.837117058,0.008028945
77,17,2,Spiro,1,2.207419496,0.018518071
78,17,2,"Spiro, Colp, Para",3,4.548761715,-0.004282724
79,17,2,"Spiro, Colp, Tetra",3,3.009097879,-0.010354684
80,17,2,"Spiro, Loxo, Dexio",3,2.566439214,-0.019659174
81,17,2,"Spiro, Loxo, Para",3,2.769821883,-0.014536304
82,17,2,"Spiro, Tetra, Dexio",3,1.294153533,-0.010944421
83,17,2,Tetra,1,0.622207506,-0.006540948
84,17,2,"Tetra, Colp",2,2.326501444,0.003739801
85,17,2,"Tetra, Colp, Dexio, Loxo",4,2.069502706,-0.040344269
86,17,2,"Tetra, Colp, Dexio, Loxo, Para",5,2.328149193,-0.026739231
87,17,2,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,3.620477609,-0.011461843
88,17,2,"Tetra, Colp, Dexio, Loxo, Spiro",5,2.980105414,0.040782008
89,17,2,"Tetra, Colp, Dexio, Para",4,1.58797731,-0.00792723
90,17,2,"Tetra, Colp, Dexio, Para, Spiro",5,3.578782402,-0.000147893
91,17,2,"Tetra, Colp, Dexio, Spiro",4,2.624460068,0.01020067
92,17,2,"Tetra, Colp, Loxo, Para",4,2.103042512,-0.031780481
93,17,2,"Tetra, Colp, Loxo, Para, Spiro",5,3.677866363,-0.001096734
94,17,2,"Tetra, Colp, Loxo, Spiro",4,2.694951034,0.040753238
95,17,2,"Tetra, Colp, Para, Spiro",4,3.352275996,-0.0074682
96,17,2,"Tetra, Dexio",2,1.713165947,-0.005085536
97,17,2,"Tetra, Dexio, Loxo, Para",4,2.367723548,-0.02084439
98,17,2,"Tetra, Dexio, Loxo, Para, Spiro",5,2.874874282,3.91954E-05
99,17,2,"Tetra, Dexio, Loxo, Spiro",4,2.94055824,0.004913154
100,17,2,"Tetra, Dexio, Para, Spiro",4,2.190710648,-0.008436661
101,17,2,"Tetra, Loxo",2,2.00564513,-0.01303389
102,17,2,"Tetra, Loxo, Para",3,1.75313843,-0.024780888
103,17,2,"Tetra, Loxo, Para, Spiro",4,3.065133365,-0.011035508
104,17,2,"Tetra, Para",2,2.134083576,-0.011902084
105,17,2,"Tetra, Para, Dexio",3,1.815023752,-0.002704356
106,17,2,"Tetra, Spiro",2,1.039171939,0.004881318
107,17,3,Colp,1,1.672366547,0.00868746
108,17,3,Dexio,1,1.044217439,0.005436705
109,17,3,Loxo,1,2.483251043,0.002396431
110,17,3,Para,1,1.242113035,-0.003965899
111,17,3,Spiro,1,2.538889944,0.021583926
112,17,3,Tetra,1,0.682693465,8.08618E-05
113,17,3,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,3.278617996,0.002545726
