"","microcosmID","combination","temperature","predicted_species","richness","replicate","day","species_biomass","total_biomass"
"1",2,"Colp",15,"Colp",1,3,1,0.0769961134645656,0.0769961134645656
"2",2,"Colp",15,"Colp",1,3,3,0.0750328699856762,0.0750328699856762
"3",2,"Colp",15,"Colp",1,3,5,0.0755380856701828,0.0755380856701828
"4",2,"Colp",15,"Colp",1,3,7,0.0970252042435554,0.0970252042435554
"5",2,"Colp",15,"Colp",1,3,9,0.0712202484024906,0.0712202484024906
"6",2,"Colp",15,"Colp",1,3,11,0.0789273660267024,0.0789273660267024
"7",2,"Colp",15,"Colp",1,3,13,0.0829740870978367,0.0829740870978367
"8",2,"Colp",15,"Colp",1,3,15,0.0568943685440257,0.0568943685440257
"9",2,"Colp",15,"Colp",1,3,17,0.0187928631346424,0.0187928631346424
"10",2,"Colp",15,"Colp",1,3,19,0.0319497220250001,0.0319497220250001
"11",2,"Colp",15,"Colp",1,3,21,0.0458556798052156,0.0458556798052156
"12",2,"Colp",15,"Colp",1,3,23,0.0399865057963842,0.0399865057963842
"13",2,"Colp",15,"Colp",1,3,25,0.0543615554758211,0.0543615554758211
"14",2,"Colp",15,"Colp",1,3,27,0.0418832450210525,0.0418832450210525
"15",2,"Colp",15,"Colp",1,3,29,0.0261000210535235,0.0261000210535235
"16",2,"Colp",15,"Colp",1,3,31,0.0395382872950989,0.0395382872950989
"17",2,"Colp",15,"Colp",1,3,33,0.053878623408023,0.053878623408023
"18",2,"Colp",15,"Colp",1,3,35,0.0315583476836869,0.0315583476836869
"19",2,"Colp",15,"Colp",1,3,37,0.0522458425894001,0.0522458425894001
"20",14,"Colp",15,"Colp",1,1,1,0.129141491476573,0.129141491476573
"21",14,"Colp",15,"Colp",1,1,3,0.126380721321633,0.126380721321633
"22",14,"Colp",15,"Colp",1,1,5,0.119288061352031,0.119288061352031
"23",14,"Colp",15,"Colp",1,1,7,0.0726226117334987,0.0726226117334987
"24",14,"Colp",15,"Colp",1,1,9,0.0659278843326817,0.0659278843326817
"25",14,"Colp",15,"Colp",1,1,11,0.0563376256614003,0.0563376256614003
"26",14,"Colp",15,"Colp",1,1,13,0.0624533060795827,0.0624533060795827
"27",14,"Colp",15,"Colp",1,1,15,0.0663039657520808,0.0663039657520808
"28",14,"Colp",15,"Colp",1,1,17,0.050554209081196,0.050554209081196
"29",14,"Colp",15,"Colp",1,1,19,0.0362964996996041,0.0362964996996041
