microcosmID,combination,temperature,richness,replicate,day,total_biomass
2,Colp,15,1,3,1,0.076996113
2,Colp,15,1,3,3,0.07503287
2,Colp,15,1,3,5,0.075538086
2,Colp,15,1,3,7,0.097025204
2,Colp,15,1,3,9,0.071220248
2,Colp,15,1,3,11,0.078927366
2,Colp,15,1,3,13,0.082974087
2,Colp,15,1,3,15,0.056894369
2,Colp,15,1,3,17,0.018792863
2,Colp,15,1,3,19,0.031949722
2,Colp,15,1,3,21,0.04585568
2,Colp,15,1,3,23,0.039986506
2,Colp,15,1,3,25,0.054361555
2,Colp,15,1,3,27,0.041883245
2,Colp,15,1,3,29,0.026100021
2,Colp,15,1,3,31,0.039538287
2,Colp,15,1,3,33,0.053878623
2,Colp,15,1,3,35,0.031558348
2,Colp,15,1,3,37,0.052245843
14,Colp,15,1,1,1,0.129141491
14,Colp,15,1,1,3,0.126380721
14,Colp,15,1,1,5,0.119288061
14,Colp,15,1,1,7,0.072622612
14,Colp,15,1,1,9,0.065927884
14,Colp,15,1,1,11,0.056337626
14,Colp,15,1,1,13,0.062453306
14,Colp,15,1,1,15,0.066303966
14,Colp,15,1,1,17,0.050554209
14,Colp,15,1,1,19,0.0362965
14,Colp,15,1,1,21,0.052564782
14,Colp,15,1,1,23,0.047494317
14,Colp,15,1,1,25,0.083757812
14,Colp,15,1,1,27,0.054770264
14,Colp,15,1,1,29,0.018948271
14,Colp,15,1,1,31,0.02947648
14,Colp,15,1,1,33,0.02789468
14,Colp,15,1,1,35,0.016063036
14,Colp,15,1,1,37,0.021761547
35,Colp,15,1,2,1,0.090568175
35,Colp,15,1,2,3,0.108398727
35,Colp,15,1,2,5,0.121100002
35,Colp,15,1,2,7,0.090202439
35,Colp,15,1,2,9,0.071246441
35,Colp,15,1,2,11,0.046856991
35,Colp,15,1,2,13,0.0567274
35,Colp,15,1,2,15,0.07775164
35,Colp,15,1,2,17,0.059706045
35,Colp,15,1,2,19,0.030415874
35,Colp,15,1,2,21,0.069407555
35,Colp,15,1,2,23,0.078280428
35,Colp,15,1,2,25,0.052196739
35,Colp,15,1,2,27,0.033211684
35,Colp,15,1,2,29,0.038254938
35,Colp,15,1,2,31,0.042795992
35,Colp,15,1,2,33,0.034713933
35,Colp,15,1,2,35,0.041061936
35,Colp,15,1,2,37,0.0213135
124,Colp,17,1,1,1,0.128386762
124,Colp,17,1,1,3,0.119521869
124,Colp,17,1,1,5,0.110656975
124,Colp,17,1,1,7,0.049308649
124,Colp,17,1,1,9,0.046440705
124,Colp,17,1,1,11,0.048677296
124,Colp,17,1,1,13,0.059499185
124,Colp,17,1,1,15,0.077552292
124,Colp,17,1,1,17,0.083252957
124,Colp,17,1,1,19,0.062674195
124,Colp,17,1,1,21,0.060734314
124,Colp,17,1,1,23,0.075493949
124,Colp,17,1,1,25,0.077039247
124,Colp,17,1,1,27,0.061879403
124,Colp,17,1,1,29,0.054039554
124,Colp,17,1,1,31,0.0552335
124,Colp,17,1,1,33,0.067520644
124,Colp,17,1,1,35,0.064356779
124,Colp,17,1,1,37,0.061192915
190,Colp,17,1,3,1,0.223957242
190,Colp,17,1,3,3,0.159444273
190,Colp,17,1,3,5,0.094931304
190,Colp,17,1,3,7,0.089464692
190,Colp,17,1,3,9,0.084685805
190,Colp,17,1,3,11,0.069224437
190,Colp,17,1,3,13,0.05027472
190,Colp,17,1,3,15,0.043576467
190,Colp,17,1,3,17,0.04896857
190,Colp,17,1,3,19,0.07084416
190,Colp,17,1,3,21,0.073204409
190,Colp,17,1,3,23,0.071958965
